PKP4,0.000304227
SLIT2,0.000194253
DMD,0.00019121
NEFM,0.000189143
PLK2,0.000174462
ETV1,0.000158846
FGF10,0.000157089
SCN1A,0.000151115
ATXN1,0.0000473
PRKCB,0.0000415
NEFL,0.0000348
TUBB4B,0.0000328
SATB2,0.000031
PPP3CA,0.0000303
ITM2A,0.0000292
FEZF2,0.0000258
RB1CC1,0.0000258
GABBR2,0.0000247
S100A8,0.0000211
NOV,0.0000209
CNR1,0.0000193
MAP3K9,0.0000192
MSX1,0.000019
SLC1A1,0.0000176
CACNG3,0.0000173
CD93,0.0000155
SERPINE1,0.0000139
AMFR,0.000013
COL5A2,0.000013
ITPR1,0.0000129
RTN1,0.0000124
NELL1,0.0000105
PRKAR2B,0.00001
ATP6V1G2,0.00000993
AEBP1,0.00000764
PLCB1,0.00000738
MXRA5,0.00000684
DUSP6,0.00000655
CYP26B1,0.00000594
F13A1,0.00000579
TH,0.00000563
RALYL,0.00000533
VSNL1,0.00000528
CABP1,0.00000521
ISLR,0.0000052
RCAN2,0.0000049
RGS4,0.00000458
MYT1L,0.00000434
RGS7,0.00000434
CHRM5,0.00000426
NEFH,0.00000422
LDB2,0.00000391
TRIM36,0.00000375
SERPINI1,0.0000036
LTF,0.00000357
SCN3A,0.00000336
KIAA0368,0.00000317
CRYM,0.00000315
CHL1,0.00000282
SYNGR3,0.00000277
PCSK2,0.00000221
TAC1,0.0000022
AK5,0.00000214
PTPRN2,0.00000189
KCNS1,0.00000187
SACS,0.00000181
POSTN,0.00000168
NDRG4,0.00000162
TRHR,0.0000016
GPC3,0.00000144
TENM1,0.00000137
CUX2,0.00000123
IDS,0.0000012
FAM65B,0.00000119
EFR3A,0.00000116
HAO2,0.00000108
WIF1,0.000000844
ANO3,0.000000842
SCG3,0.000000789
RFK,0.000000769
CLDN10,0.000000749
MT1F,0.000000556
NETO2,0.000000522
NPAS4,0.000000407
TESPA1,0.000000355
MAN1A1,0.000000294
LBH,0.000000279
FRY,0.000000173
HIST1H2AM,0.00000016
TMEM14A,0.000000153
SNX10,0.000000141
VGLL3,0.000000116
MCHR2,0.000000115
SLC22A8,9.99E-08
TRABD2A,9.01E-08
FREM3,2.19E-08
